Date;Lever;Coucher
10/4;06:56;20:18
11/4;06:55;20:19
12/4;06:53;20:21
13/4;06:51;20:22
14/4;06:49;20:23
15/4;06:47;20:25
16/4;06:45;20:26
17/4;06:43;20:28
18/4;06:41;20:29
19/4;06:40;20:30
20/4;06:38;20:32
21/4;06:36;20:33
22/4;06:34;20:35
23/4;06:32;20:36
24/4;06:31;20:37
25/4;06:29;20:39
26/4;06:27;20:40
27/4;06:26;20:41
28/4;06:24;20:43
29/4;06:22;20:44
30/4;06:21;20:46
1/5;06:19;20:47
2/5;06:17;20:48
3/5;06:16;20:50
4/5;06:14;20:51
5/5;06:13;20:52
6/5;06:11;20:54
7/5;06:10;20:55
8/5;06:08;20:56
9/5;06:07;20:58
10/5;06:06;20:59
11/5;06:04;21:00
12/5;06:03;21:02
13/5;06:02;21:03
14/5;06:00;21:04
15/5;05:59;21:05
16/5;05:58;21:07
17/5;05:57;21:08
18/5;05:56;21:09
19/5;05:55;21:10
20/5;05:53;21:11
21/5;05:52;21:13
22/5;05:51;21:14
23/5;05:50;21:15
24/5;05:50;21:16
25/5;05:49;21:17
26/5;05:48;21:18
27/5;05:47;21:19
28/5;05:46;21:20
29/5;05:45;21:21
30/5;05:45;21:22
31/5;05:44;21:23
1/6;05:43;21:24
2/6;05:43;21:25
3/6;05:42;21:26
4/6;05:42;21:27
5/6;05:41;21:28
6/6;05:41;21:28
7/6;05:41;21:29
8/6;05:40;21:30
9/6;05:40;21:30
10/6;05:40;21:31
11/6;05:39;21:32
12/6;05:39;21:32
13/6;05:39;21:33
14/6;05:39;21:33
15/6;05:39;21:34
16/6;05:39;21:34
17/6;05:39;21:35
18/6;05:39;21:35
19/6;05:39;21:35
20/6;05:40;21:36
21/6;05:40;21:36
22/6;05:40;21:36
23/6;05:40;21:36
24/6;05:41;21:36
25/6;05:41;21:36
26/6;05:41;21:36
27/6;05:42;21:36
28/6;05:42;21:36
29/6;05:43;21:36
30/6;05:43;21:36
1/7;05:44;21:36
2/7;05:45;21:35
3/7;05:45;21:35
4/7;05:46;21:35
5/7;05:47;21:34
6/7;05:47;21:34
7/7;05:48;21:34
8/7;05:49;21:33
9/7;05:50;21:33
10/7;05:51;21:32
11/7;05:52;21:31
12/7;05:53;21:31
13/7;05:53;21:30
14/7;05:54;21:29
15/7;05:55;21:28
16/7;05:56;21:28
17/7;05:57;21:27
18/7;05:59;21:26
19/7;06:00;21:25
20/7;06:01;21:24
21/7;06:02;21:23
22/7;06:03;21:22
23/7;06:04;21:21
24/7;06:05;21:20
25/7;06:06;21:18
26/7;06:08;21:17
27/7;06:09;21:16
28/7;06:10;21:15
29/7;06:11;21:14
30/7;06:12;21:12
31/7;06:14;21:11
1/8;06:15;21:10
2/8;06:16;21:08
3/8;06:17;21:07
4/8;06:19;21:05
5/8;06:20;21:04
6/8;06:21;21:02
7/8;06:23;21:01
8/8;06:24;20:59
9/8;06:25;20:58
10/8;06:26;20:56
11/8;06:28;20:54
12/8;06:29;20:53
13/8;06:30;20:51
14/8;06:32;20:49
15/8;06:33;20:48
16/8;06:34;20:46
17/8;06:36;20:44
18/8;06:37;20:43
19/8;06:38;20:41
20/8;06:40;20:39
21/8;06:41;20:37
22/8;06:42;20:35
23/8;06:43;20:33
24/8;06:45;20:32
25/8;06:46;20:30
26/8;06:47;20:28
27/8;06:49;20:26
28/8;06:50;20:24
29/8;06:51;20:22
30/8;06:53;20:20
31/8;06:54;20:18
1/9;06:55;20:16
2/9;06:57;20:14
3/9;06:58;20:12
4/9;06:59;20:10
5/9;07:01;20:08
6/9;07:02;20:06
7/9;07:03;20:04
8/9;07:05;20:02
9/9;07:06;20:00
10/9;07:07;19:58
11/9;07:08;19:56
12/9;07:10;19:54
13/9;07:11;19:52
14/9;07:12;19:50
15/9;07:14;19:48
16/9;07:15;19:46
17/9;07:16;19:44
18/9;07:18;19:42
19/9;07:19;19:40
20/9;07:20;19:38
21/9;07:22;19:36
22/9;07:23;19:34
23/9;07:24;19:32
24/9;07:26;19:30
25/9;07:27;19:28
26/9;07:28;19:26
27/9;07:30;19:24
28/9;07:31;19:22
29/9;07:32;19:20
30/9;07:34;19:18
1/10;07:35;19:16
2/10;07:36;19:14
3/10;07:38;19:12
4/10;07:39;19:10
5/10;07:41;19:08
6/10;07:42;19:06
7/10;07:43;19:04
8/10;07:45;19:02
9/10;07:46;19:00
10/10;07:48;18:58
11/10;07:49;18:56
12/10;07:50;18:54
13/10;07:52;18:52
14/10;07:53;18:51
15/10;07:55;18:49
16/10;07:56;18:47
17/10;07:57;18:45
18/10;07:59;18:43
19/10;08:00;18:41
20/10;08:02;18:40
21/10;08:03;18:38
22/10;08:05;18:36
23/10;08:06;18:34
24/10;08:08;18:33
25/10;08:09;18:31
26/10;08:11;18:29
27/10;08:12;18:27
28/10;08:14;18:26
29/10;08:15;18:24
30/10;08:16;18:23
31/10;07:18;17:21
1/11;07:19;17:19
2/11;07:21;17:18
3/11;07:22;17:16
4/11;07:24;17:15
5/11;07:25;17:14
6/11;07:27;17:12
7/11;07:28;17:11
8/11;07:30;17:09
9/11;07:31;17:08
10/11;07:33;17:07
11/11;07:34;17:06
12/11;07:36;17:04
13/11;07:37;17:03
14/11;07:39;17:02
15/11;07:40;17:01
16/11;07:42;17:00
17/11;07:43;16:59
18/11;07:45;16:58
19/11;07:46;16:57
20/11;07:47;16:56
21/11;07:49;16:55
22/11;07:50;16:54
23/11;07:52;16:53
24/11;07:53;16:52
25/11;07:54;16:52
26/11;07:56;16:51
27/11;07:57;16:50
28/11;07:58;16:50
29/11;07:59;16:49
30/11;08:01;16:49
1/12;08:02;16:48
2/12;08:03;16:48
3/12;08:04;16:47
4/12;08:05;16:47
5/12;08:07;16:47
6/12;08:08;16:46
7/12;08:09;16:46
8/12;08:10;16:46
9/12;08:11;16:46
10/12;08:12;16:46
11/12;08:13;16:46
12/12;08:14;16:46
13/12;08:14;16:46
14/12;08:15;16:46
15/12;08:16;16:46
16/12;08:17;16:47
17/12;08:17;16:47
18/12;08:18;16:47
19/12;08:19;16:48
20/12;08:19;16:48
21/12;08:20;16:48
22/12;08:20;16:49
23/12;08:21;16:49
24/12;08:21;16:50
25/12;08:21;16:51
26/12;08:22;16:51
27/12;08:22;16:52
28/12;08:22;16:53
29/12;08:22;16:54
30/12;08:22;16:55
31/12;08:23;16:55
